,company,year,doc_id,date,similarity,rescaled_similarity,rescaled_similarity_lagged,num_disc
275,PSA,2019,0001393311,2019-12-31,0.9403662907768976,0.1167877993088311,,3
276,PSX,2019,0001534701,2019-12-31,0.9445432011320741,0.13349544072953723,,4
277,PWR,2019,0001050915,2019-12-31,0.9486544344062933,0.1499403738264138,,4
278,PXD,2019,0001038357,2019-12-31,0.9360221639447254,0.0994112919801422,,5
279,PYPL,2019,0001633917,2019-12-31,0.945059082307526,0.1355589654313447,,4
280,R,2019,0000085961,2019-12-31,0.9555883308732748,0.1776759596943398,,4
281,RCL,2019,0000884887,2019-12-31,0.9509957531203466,0.15930564868262698,,4
282,REGN,2019,0000872589,2019-12-31,0.941635850495919,0.12186603818491681,,4
283,RF,2019,0001281761,2019-12-31,0.9444807707640982,0.1332457192576335,,4
284,RHI,2019,0000315213,2019-12-31,0.9521215266536164,0.16380874281570623,,4
285,RIG,2019,0001451505,2019-12-31,0.9391383757131522,0.11187613905384941,,4
286,ROP,2019,0000882835,2019-12-31,0.9493268118948442,0.1526298837806177,,4
287,RRC,2019,0000315852,2019-12-31,0.9336490047387315,0.0899186551561666,,4
288,RSG,2019,0001060391,2019-12-31,0.9479618704306423,0.14717011792380985,,4
289,RTN,2019,0001047122,2019-12-31,0.9466529826884345,0.14193456695497852,,4
290,SCHW,2019,0000316709,2019-12-31,0.946387705353283,0.14087345761437264,,4
291,SEE,2019,0001012100,2019-12-31,0.9456564462188464,0.1379484210766262,,4
292,SHW,2019,0000089800,2019-12-31,0.9427162471208693,0.126187624684718,,4
293,SLB,2019,0000087347,2019-12-31,0.9323459513608995,0.08470644164483865,,4
294,SLG,2019,0001040971,2019-12-31,0.9363545486170664,0.10074083066950612,,4
295,SNA,2019,0000091440,2019-12-28,0.955102921799225,0.17573432339814055,,4
296,SO,2019,0000003153,2019-12-31,0.9327368854970475,0.08627017818943061,,5
297,SPG,2019,0001022344,2019-12-31,0.9410801617819589,0.11964328332907614,,4
298,SPGI,2019,0000064040,2019-12-31,0.9508923148182306,0.15889189547416294,,4
299,SRCL,2019,0000861878,2019-12-31,0.9386288589640353,0.10983807205738172,,4
300,SRE,2019,0000086521,2019-12-31,0.9411509332098338,0.11992636904057585,,5
301,STT,2019,0000093751,2019-12-31,0.9516336056059101,0.1618570586248813,,4
302,SWK,2019,0000093556,2019-12-28,0.9558858819194432,0.17886616387901366,,4
303,SWN,2019,0000007332,2019-12-31,0.9361536807319273,0.09993735912894985,,5
304,SYF,2019,0001601712,2019-12-31,0.942530948934023,0.12544643193733274,,2
305,SYK,2019,0000310764,2019-12-31,0.9515430218716061,0.16149472368766515,,4
306,T,2019,0000732717,2019-12-31,0.9602387943005298,0.19627781340336004,,4
307,TAP,2019,0000024545,2019-12-31,0.9537523539380416,0.17033205195340706,,4
308,TDC,2019,0000816761,2019-12-31,0.9630005349002905,0.2073247758024026,,4
309,TGNA,2019,0000039899,2019-12-31,0.9508870608487832,0.15887087959637336,,4
310,TMK,2019,0000320335,2019-12-31,0.9424695906125686,0.12520099865151524,,4
311,TMO,2019,0000097745,2019-12-31,0.9507474821739959,0.15831256489722412,,4
312,TRIP,2019,0001526520,2019-12-31,0.9568911976457255,0.18288742678414271,,4
313,TROW,2019,0001113169,2019-12-31,0.9530864378279547,0.16766838751305935,,4
314,TRV,2019,0000086312,2019-12-31,0.9518001836716837,0.16252337088797564,,4
315,TSCO,2019,0000916365,2019-12-28,0.9553188260417349,0.17659794036818033,,4
316,TXN,2019,0000097476,2019-12-31,0.9527912207968355,0.16648751938858286,,4
317,UA,2019,0001336917,2019-12-31,0.960695780706049,0.1981057590254367,,4
318,UAA,2019,0001336917,2019-12-31,0.960695780706049,0.1981057590254367,,4
319,UAL,2019,0000100517,2019-12-31,0.9454352387343719,0.13706359113872812,,4
320,UDR,2019,0000074208,2019-12-31,0.9457452916026836,0.13830380261197517,,4
321,UHS,2019,0000352915,2019-12-31,0.9358363857396556,0.09866817915986292,,4
322,UNH,2019,0000731766,2019-12-31,0.9496699049098654,0.15400225584070215,,4
323,UNM,2019,0000005513,2019-12-31,0.9474162300210421,0.14498755628540927,,4
324,UNP,2019,0000100885,2019-12-31,0.9363098738574582,0.10056213163107364,,4
325,UPS,2019,0001090727,2019-12-31,0.9515896263381868,0.16168114155398783,,4
326,URI,2019,0001047166,2019-12-31,0.948298720502628,0.14851751821175263,,4
327,USB,2019,0000036104,2019-12-31,0.9254889809986638,0.057278560195896056,,5
328,UTX,2019,0000101829,2019-12-31,0.9489035877909908,0.150936987365204,,5
